,text,cnpj,count
14,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1047.txt,12.196.993/0001-41,1
108,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1142.txt,12.196.993/0001-41,1
186,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1168.txt,27.165.345/0001-90,1
243,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1252.txt,32.934.693/0001-13,1
323,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/132.txt,13.015.833/0001-55,5
400,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,17.173.298/0001-24,1
413,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,23.765.576/0001-33,1
417,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,26.162.477/0001-57,1
424,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1371.txt,32.265.513/0001-67,1
452,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1456.txt,27.353.630/0004-04,1
485,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1511.txt,11.957.593/0001-10,1
510,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1511.txt,27.708.186/0001-33,1
539,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1531.txt,05.400.066/0001-70,1
1197,../data/Buscas de palavras chaves/_estado de Emergência de Saúde Pública_/1643.txt,12.264.563/0001-03,1
72,../data/Buscas de palavras chaves/_teste rápido_/1142.txt,12.196.993/0001-41,1
150,../data/Buscas de palavras chaves/_teste rápido_/1168.txt,27.165.345/0001-90,1
217,../data/Buscas de palavras chaves/_teste rápido_/1177.txt,00.924.195/0001-06,1
259,../data/Buscas de palavras chaves/_teste rápido_/1190.txt,08.942.276/0001-08,1
288,../data/Buscas de palavras chaves/_teste rápido_/1224.txt,06.629.746/0001-09,1
397,../data/Buscas de palavras chaves/_teste rápido_/1256.txt,02.205.536/0001-42,1
494,../data/Buscas de palavras chaves/_teste rápido_/1256.txt,26.552.982/0001-75,1
518,../data/Buscas de palavras chaves/_teste rápido_/1287.txt,00.612.203/0001-01,2
629,../data/Buscas de palavras chaves/_teste rápido_/132.txt,13.015.833/0001-55,5
689,../data/Buscas de palavras chaves/_teste rápido_/1327.txt,20.478.426/0001-35,1
694,../data/Buscas de palavras chaves/_teste rápido_/1327.txt,21.993.497/0001-70,1
722,../data/Buscas de palavras chaves/_teste rápido_/1456.txt,27.353.630/0004-04,1
765,../data/Buscas de palavras chaves/_teste rápido_/1464.txt,04.675.247/0007-69,1
890,../data/Buscas de palavras chaves/_teste rápido_/1672.txt,02.548.753/0001-80,1
999,../data/Buscas de palavras chaves/_teste rápido_/1943.txt,08.849.921/0001-56,1
1008,../data/Buscas de palavras chaves/_teste rápido_/1943.txt,10.571.872/0001-53,1
1020,../data/Buscas de palavras chaves/_teste rápido_/1943.txt,14.889.534/0001-06,1
1087,../data/Buscas de palavras chaves/_teste rápido_/1987.txt,14.884.711/0001-45,2
1095,../data/Buscas de palavras chaves/_teste rápido_/1987.txt,27.165.182/0001-21,2
1148,../data/Buscas de palavras chaves/_teste rápido_/204.txt,14.884.711/0001-45,1
1179,../data/Buscas de palavras chaves/_teste rápido_/229.txt,00.740.969/0001-92,2
1297,../data/Buscas de palavras chaves/_teste rápido_/533(1).txt,01.107.391/0002-63,1
1305,../data/Buscas de palavras chaves/_teste rápido_/533(1).txt,13.169.156/0001-16,1
1320,../data/Buscas de palavras chaves/_teste rápido_/533.txt,01.107.391/0002-63,1
1328,../data/Buscas de palavras chaves/_teste rápido_/533.txt,13.169.156/0001-16,1
1391,../data/Buscas de palavras chaves/_teste rápido_/55(1).txt,36.215.108/0001-24,1
1445,../data/Buscas de palavras chaves/_teste rápido_/55.txt,36.215.108/0001-24,1
1500,../data/Buscas de palavras chaves/_teste rápido_/615.txt,10.571.872/0001-53,1
1762,../data/Buscas de palavras chaves/_teste rápido_/835(1).txt,22.259.013/0001-02,2
1844,../data/Buscas de palavras chaves/_teste rápido_/835.txt,22.259.013/0001-02,2
1922,../data/Buscas de palavras chaves/_teste rápido_/882.txt,14.884.711/0001-45,2
1933,../data/Buscas de palavras chaves/_teste rápido_/882.txt,27.165.182/0001-21,2
7,../data/Buscas de palavras chaves/EPI/1012.txt,21.239.429/0001-05,1
68,../data/Buscas de palavras chaves/EPI/1029.txt,11.615.369/0001-35,1
87,../data/Buscas de palavras chaves/EPI/1029.txt,26.113.297/0001-96,1
109,../data/Buscas de palavras chaves/EPI/1047.txt,12.196.993/0001-41,1
185,../data/Buscas de palavras chaves/EPI/1060.txt,36.215.108/0001-24,1
331,../data/Buscas de palavras chaves/EPI/1094.txt,28.055.226/0001-16,1
428,../data/Buscas de palavras chaves/EPI/1128.txt,27.165.182/0001-21,1
1120,../data/Buscas de palavras chaves/EPI/1168.txt,27.165.345/0001-90,1
1260,../data/Buscas de palavras chaves/EPI/1212.txt,03.231.206/0001-76,1
1377,../data/Buscas de palavras chaves/EPI/1224.txt,06.629.746/0001-09,1
1450,../data/Buscas de palavras chaves/EPI/1256.txt,02.205.536/0001-42,1
1547,../data/Buscas de palavras chaves/EPI/1256.txt,26.552.982/0001-75,1
1587,../data/Buscas de palavras chaves/EPI/1269.txt,08.447.694/0001-64,1
1632,../data/Buscas de palavras chaves/EPI/1270.txt,01.741.721/0001-48,1
1642,../data/Buscas de palavras chaves/EPI/1270.txt,04.496.562/0001-59,2
1654,../data/Buscas de palavras chaves/EPI/1270.txt,06.626.253/0443-45,1
1727,../data/Buscas de palavras chaves/EPI/1270.txt,32.867.889/0001-05,1
1782,../data/Buscas de palavras chaves/EPI/1280.txt,24.926.663/0000-08,1
1892,../data/Buscas de palavras chaves/EPI/1304.txt,21.822.665/0001-60,1
2054,../data/Buscas de palavras chaves/EPI/132.txt,13.015.833/0001-55,5
2310,../data/Buscas de palavras chaves/EPI/1357.txt,48.752.450/0001-13,1
2441,../data/Buscas de palavras chaves/EPI/1391.txt,46.721.473/2020-36,1
2502,../data/Buscas de palavras chaves/EPI/140.txt,24.810.340/0001-10,1
2543,../data/Buscas de palavras chaves/EPI/1429.txt,79.846.465/0001-81,2
2563,../data/Buscas de palavras chaves/EPI/1431.txt,05.063.395/0001-30,1
2569,../data/Buscas de palavras chaves/EPI/1431.txt,21.993.497/0001-70,1
2581,../data/Buscas de palavras chaves/EPI/1433.txt,01.367.217/0001-41,1
2697,../data/Buscas de palavras chaves/EPI/1451.txt,33.871.336/0002-62,1
2729,../data/Buscas de palavras chaves/EPI/1456.txt,27.353.630/0004-04,1
2870,../data/Buscas de palavras chaves/EPI/1511.txt,11.957.593/0001-10,1
2895,../data/Buscas de palavras chaves/EPI/1511.txt,27.708.186/0001-33,1
2928,../data/Buscas de palavras chaves/EPI/1531.txt,05.400.066/0001-70,1
3162,../data/Buscas de palavras chaves/EPI/1607.txt,51.260.743/0001-34,1
3308,../data/Buscas de palavras chaves/EPI/1643.txt,12.264.563/0001-03,1
3429,../data/Buscas de palavras chaves/EPI/1653.txt,09.316.084/0002-60,1
3463,../data/Buscas de palavras chaves/EPI/1668.txt,73.937.724/0001-20,1
3477,../data/Buscas de palavras chaves/EPI/1687.txt,02.881.887/0001-64,1
3536,../data/Buscas de palavras chaves/EPI/1687.txt,51.260.743/0001-34,1
3537,../data/Buscas de palavras chaves/EPI/1687.txt,52.488.629/0008-66,1
3562,../data/Buscas de palavras chaves/EPI/169.txt,07.377.498/0001-64,1
3624,../data/Buscas de palavras chaves/EPI/169.txt,67.729.178/0001-91,1
3671,../data/Buscas de palavras chaves/EPI/1700.txt,10.942.931/0001-36,1
3801,../data/Buscas de palavras chaves/EPI/1719.txt,24.506.677/0001-57,1
4075,../data/Buscas de palavras chaves/EPI/1870.txt,00.057.747/9891-72,1
4213,../data/Buscas de palavras chaves/EPI/189.txt,02.091.365/0065-13,1
4253,../data/Buscas de palavras chaves/EPI/189.txt,13.405.319/0031-49,1
4297,../data/Buscas de palavras chaves/EPI/189.txt,73.849.952/0009-24,1
4429,../data/Buscas de palavras chaves/EPI/1943.txt,08.849.921/0001-56,1
4438,../data/Buscas de palavras chaves/EPI/1943.txt,10.571.872/0001-53,1
4450,../data/Buscas de palavras chaves/EPI/1943.txt,14.889.534/0001-06,1
4504,../data/Buscas de palavras chaves/EPI/1947.txt,15.790.788/0001-19,1
4551,../data/Buscas de palavras chaves/EPI/1959.txt,27.165.345/0001-90,1
4568,../data/Buscas de palavras chaves/EPI/1959.txt,39.315.211/0001-94,1
4605,../data/Buscas de palavras chaves/EPI/1961.txt,27.165.182/0001-21,1
4621,../data/Buscas de palavras chaves/EPI/1961.txt,39.315.211/0001-94,2
4647,../data/Buscas de palavras chaves/EPI/1979.txt,15.362.151/0001-57,1
4659,../data/Buscas de palavras chaves/EPI/1979.txt,21.993.497/0001-70,1
4691,../data/Buscas de palavras chaves/EPI/1986.txt,11.615.369/0001-35,1
4718,../data/Buscas de palavras chaves/EPI/1987.txt,14.884.711/0001-45,2
4726,../data/Buscas de palavras chaves/EPI/1987.txt,27.165.182/0001-21,2
4771,../data/Buscas de palavras chaves/EPI/1998.txt,66.581.267/0001-83,1
4949,../data/Buscas de palavras chaves/EPI/204.txt,14.884.711/0001-45,1
4990,../data/Buscas de palavras chaves/EPI/205.txt,11.615.369/0001-35,1
5366,../data/Buscas de palavras chaves/EPI/280.txt,36.325.257/0001-34,1
5379,../data/Buscas de palavras chaves/EPI/287.txt,30.368.027/0001-56,1
5594,../data/Buscas de palavras chaves/EPI/395.txt,14.432.557/0001-79,1
5622,../data/Buscas de palavras chaves/EPI/395.txt,79.716.613/0001-33,1
5854,../data/Buscas de palavras chaves/EPI/401.txt,60.085.055/0435-31,1
6183,../data/Buscas de palavras chaves/EPI/533.txt,01.107.391/0002-63,1
6191,../data/Buscas de palavras chaves/EPI/533.txt,13.169.156/0001-16,1
6254,../data/Buscas de palavras chaves/EPI/55.txt,36.215.108/0001-24,1
6311,../data/Buscas de palavras chaves/EPI/558.txt,26.245.666/0001-10,1
6336,../data/Buscas de palavras chaves/EPI/558.txt,35.864.462/0001-68,1
6344,../data/Buscas de palavras chaves/EPI/558.txt,36.399.627/0001-70,2
6631,../data/Buscas de palavras chaves/EPI/640.txt,24.506.677/0001-57,1
6646,../data/Buscas de palavras chaves/EPI/640.txt,50.856.251/0001-21,1
6841,../data/Buscas de palavras chaves/EPI/673.txt,11.041.059/0001-88,1
6917,../data/Buscas de palavras chaves/EPI/690.txt,09.400.433/0001-44,1
6918,../data/Buscas de palavras chaves/EPI/690.txt,09.428.831/0001-36,1
6999,../data/Buscas de palavras chaves/EPI/70.txt,02.849.983/0001-67,1
7005,../data/Buscas de palavras chaves/EPI/70.txt,03.231.206/0001-76,1
7012,../data/Buscas de palavras chaves/EPI/70.txt,04.067.191/0001-92,1
7060,../data/Buscas de palavras chaves/EPI/70.txt,10.824.341/0001-57,1
7079,../data/Buscas de palavras chaves/EPI/70.txt,13.235.732/0001-70,1
7082,../data/Buscas de palavras chaves/EPI/70.txt,13.585.696/0001-09,1
7151,../data/Buscas de palavras chaves/EPI/70.txt,29.612.189/0001-67,1
7164,../data/Buscas de palavras chaves/EPI/70.txt,40.617.276/0001-05,1
7374,../data/Buscas de palavras chaves/EPI/726.txt,18.117.764/0001-93,1
7414,../data/Buscas de palavras chaves/EPI/728.txt,19.682.663/0001-26,1
7420,../data/Buscas de palavras chaves/EPI/728.txt,27.165.182/0001-21,1
8036,../data/Buscas de palavras chaves/EPI/835.txt,22.259.013/0001-02,2
8092,../data/Buscas de palavras chaves/EPI/845.txt,12.396.933/0001-41,1
8109,../data/Buscas de palavras chaves/EPI/845.txt,23.767.722/0001-59,4
8111,../data/Buscas de palavras chaves/EPI/845.txt,24.195.598/0001-42,1
8184,../data/Buscas de palavras chaves/EPI/882.txt,14.884.711/0001-45,2
8195,../data/Buscas de palavras chaves/EPI/882.txt,27.165.182/0001-21,2
8235,../data/Buscas de palavras chaves/EPI/900.txt,20.992.487/0001-40,1
8263,../data/Buscas de palavras chaves/EPI/900.txt,93.399.400/0001-38,1
8278,../data/Buscas de palavras chaves/EPI/903.txt,12.063.197/0001-59,1
8322,../data/Buscas de palavras chaves/EPI/912.txt,16.941.580/0001-80,1
8333,../data/Buscas de palavras chaves/EPI/912.txt,27.167.745/0001-67,2
8398,../data/Buscas de palavras chaves/EPI/916.txt,14.727.376/0001-04,2
8514,../data/Buscas de palavras chaves/EPI/949.txt,09.400.433/0001-44,1
8553,../data/Buscas de palavras chaves/EPI/949.txt,50.856.251/0001-21,1
8581,../data/Buscas de palavras chaves/EPI/971.txt,10.999.751/0001-07,1
178,../data/Buscas de palavras chaves/emergencial/1029.txt,11.615.369/0001-35,1
197,../data/Buscas de palavras chaves/emergencial/1029.txt,26.113.297/0001-96,1
222,../data/Buscas de palavras chaves/emergencial/1047.txt,12.196.993/0001-41,1
368,../data/Buscas de palavras chaves/emergencial/1060.txt,36.215.108/0001-24,1
557,../data/Buscas de palavras chaves/emergencial/1094.txt,28.055.226/0001-16,1
593,../data/Buscas de palavras chaves/emergencial/1112.txt,24.501.340/0001-44,1
645,../data/Buscas de palavras chaves/emergencial/1128.txt,27.165.182/0001-21,1
1273,../data/Buscas de palavras chaves/emergencial/1142.txt,12.196.993/0001-41,1
1344,../data/Buscas de palavras chaves/emergencial/1144.txt,13.335.920/0001-20,1
1366,../data/Buscas de palavras chaves/emergencial/1144.txt,32.194.305/0001-12,1
1433,../data/Buscas de palavras chaves/emergencial/1168.txt,27.165.345/0001-90,1
1588,../data/Buscas de palavras chaves/emergencial/1190.txt,08.942.276/0001-08,1
1753,../data/Buscas de palavras chaves/emergencial/1210.txt,09.649.306/0001-49,1
1765,../data/Buscas de palavras chaves/emergencial/1210.txt,14.866.880/0001-50,1
1773,../data/Buscas de palavras chaves/emergencial/1210.txt,19.244.814/0001-38,1
1812,../data/Buscas de palavras chaves/emergencial/1210.txt,60.085.055/0435-31,1
1888,../data/Buscas de palavras chaves/emergencial/1224.txt,06.629.746/0001-09,1
2199,../data/Buscas de palavras chaves/emergencial/1287.txt,00.612.203/0001-01,2
2238,../data/Buscas de palavras chaves/emergencial/1289.txt,00.331.778/0016-03,4
2241,../data/Buscas de palavras chaves/emergencial/1289.txt,00.868.640/0001-43,1
2382,../data/Buscas de palavras chaves/emergencial/1304.txt,21.822.665/0001-60,1
2537,../data/Buscas de palavras chaves/emergencial/1316.txt,07.049.137/2000-00,1
2569,../data/Buscas de palavras chaves/emergencial/132.txt,13.015.833/0001-55,5
2713,../data/Buscas de palavras chaves/emergencial/1357.txt,48.752.450/0001-13,1
2816,../data/Buscas de palavras chaves/emergencial/1372.txt,17.168.369/0001-83,1
2867,../data/Buscas de palavras chaves/emergencial/1391.txt,46.721.473/2020-36,1
2928,../data/Buscas de palavras chaves/emergencial/140.txt,24.810.340/0001-10,1
3122,../data/Buscas de palavras chaves/emergencial/1429.txt,79.846.465/0001-81,2
3142,../data/Buscas de palavras chaves/emergencial/1431.txt,05.063.395/0001-30,1
3148,../data/Buscas de palavras chaves/emergencial/1431.txt,21.993.497/0001-70,1
3160,../data/Buscas de palavras chaves/emergencial/1433.txt,01.367.217/0001-41,1
3278,../data/Buscas de palavras chaves/emergencial/1451.txt,33.871.336/0002-62,1
3313,../data/Buscas de palavras chaves/emergencial/1456.txt,27.353.630/0004-04,1
3352,../data/Buscas de palavras chaves/emergencial/1464.txt,04.675.247/0007-69,1
3389,../data/Buscas de palavras chaves/emergencial/1476.txt,04.675.247/0007-69,1
3417,../data/Buscas de palavras chaves/emergencial/1496.txt,04.630.415/0001-18,1
3437,../data/Buscas de palavras chaves/emergencial/1496.txt,88.148.719/0001-61,1
3527,../data/Buscas de palavras chaves/emergencial/1511.txt,11.957.593/0001-10,1
3552,../data/Buscas de palavras chaves/emergencial/1511.txt,27.708.186/0001-33,1
3577,../data/Buscas de palavras chaves/emergencial/1529.txt,01.631.225/0001-51,1
3599,../data/Buscas de palavras chaves/emergencial/1531.txt,05.400.066/0001-70,1
3667,../data/Buscas de palavras chaves/emergencial/1539.txt,01.107.391/0002-63,2
3785,../data/Buscas de palavras chaves/emergencial/1558.txt,08.960.920/0001-81,1
3798,../data/Buscas de palavras chaves/emergencial/1558.txt,27.165.182/0001-21,1
3818,../data/Buscas de palavras chaves/emergencial/1558.txt,79.716.613/0001-33,1
3832,../data/Buscas de palavras chaves/emergencial/1564.txt,05.439.635/0001-56,1
3834,../data/Buscas de palavras chaves/emergencial/1564.txt,06.962.016/0001-16,1
4369,../data/Buscas de palavras chaves/emergencial/1573.txt,15.104.656/0001-87,2
4496,../data/Buscas de palavras chaves/emergencial/1607.txt,51.260.743/0001-34,1
4784,../data/Buscas de palavras chaves/emergencial/1643.txt,12.264.563/0001-03,1
4875,../data/Buscas de palavras chaves/emergencial/1653.txt,09.316.084/0002-60,1
4957,../data/Buscas de palavras chaves/emergencial/1670.txt,26.728.177/0001-80,1
4974,../data/Buscas de palavras chaves/emergencial/1671.txt,80.590.045/0008-70,1
4978,../data/Buscas de palavras chaves/emergencial/1672.txt,02.548.753/0001-80,1
5085,../data/Buscas de palavras chaves/emergencial/1684.txt,19.946.998/0001-25,1
5105,../data/Buscas de palavras chaves/emergencial/1687.txt,02.881.887/0001-64,1
5164,../data/Buscas de palavras chaves/emergencial/1687.txt,51.260.743/0001-34,1
5165,../data/Buscas de palavras chaves/emergencial/1687.txt,52.488.629/0008-66,1
5190,../data/Buscas de palavras chaves/emergencial/169.txt,07.377.498/0001-64,1
5252,../data/Buscas de palavras chaves/emergencial/169.txt,67.729.178/0001-91,1
5272,../data/Buscas de palavras chaves/emergencial/1700.txt,10.942.931/0001-36,1
5348,../data/Buscas de palavras chaves/emergencial/1709.txt,03.718.824/0001-05,1
6011,../data/Buscas de palavras chaves/emergencial/1719.txt,24.506.677/0001-57,1
6072,../data/Buscas de palavras chaves/emergencial/1721.txt,23.464.348/0001-08,1
6091,../data/Buscas de palavras chaves/emergencial/1728.txt,01.107.391/0002-63,1
6105,../data/Buscas de palavras chaves/emergencial/1731.txt,07.783.349/0001-97,1
6151,../data/Buscas de palavras chaves/emergencial/1753.txt,15.392.151/0001-67,1
6152,../data/Buscas de palavras chaves/emergencial/1753.txt,20.748.496/0001-35,1
6153,../data/Buscas de palavras chaves/emergencial/1753.txt,24.695.513/0001-03,1
6262,../data/Buscas de palavras chaves/emergencial/1761.txt,92.975.341/0002-09,1
6879,../data/Buscas de palavras chaves/emergencial/1804.txt,61.935.518/0011-20,1
6994,../data/Buscas de palavras chaves/emergencial/1805.txt,46.043.998/0001-04,1
7791,../data/Buscas de palavras chaves/emergencial/1870.txt,00.057.747/9891-72,1
8160,../data/Buscas de palavras chaves/emergencial/1929.txt,01.026.798/0001-30,1
8161,../data/Buscas de palavras chaves/emergencial/1929.txt,03.908.897/0001-73,1
8252,../data/Buscas de palavras chaves/emergencial/1943.txt,08.849.921/0001-56,1
8261,../data/Buscas de palavras chaves/emergencial/1943.txt,10.571.872/0001-53,1
8273,../data/Buscas de palavras chaves/emergencial/1943.txt,14.889.534/0001-06,1
8365,../data/Buscas de palavras chaves/emergencial/1947.txt,15.790.788/0001-19,1
8404,../data/Buscas de palavras chaves/emergencial/1954.txt,17.460.096/0001-38,1
8486,../data/Buscas de palavras chaves/emergencial/1959.txt,27.165.345/0001-90,1
8503,../data/Buscas de palavras chaves/emergencial/1959.txt,39.315.211/0001-94,1
8540,../data/Buscas de palavras chaves/emergencial/1961.txt,27.165.182/0001-21,1
8556,../data/Buscas de palavras chaves/emergencial/1961.txt,39.315.211/0001-94,2
9209,../data/Buscas de palavras chaves/emergencial/1987.txt,14.884.711/0001-45,2
9217,../data/Buscas de palavras chaves/emergencial/1987.txt,27.165.182/0001-21,2
10071,../data/Buscas de palavras chaves/emergencial/204.txt,14.884.711/0001-45,1
10112,../data/Buscas de palavras chaves/emergencial/205.txt,11.615.369/0001-35,1
10895,../data/Buscas de palavras chaves/emergencial/217.txt,26.938.887/0001-79,1
10913,../data/Buscas de palavras chaves/emergencial/217.txt,67.991.521/0001-09,1
10973,../data/Buscas de palavras chaves/emergencial/229.txt,00.740.969/0001-92,2
11784,../data/Buscas de palavras chaves/emergencial/259.txt,01.506.617/0001-74,1
11849,../data/Buscas de palavras chaves/emergencial/259.txt,40.432.544/0001-45,1
11905,../data/Buscas de palavras chaves/emergencial/276.txt,17.713.959/0001-10,1
11910,../data/Buscas de palavras chaves/emergencial/278.txt,02.091.365/0065-13,1
11942,../data/Buscas de palavras chaves/emergencial/278.txt,19.049.456/0001-38,1
12015,../data/Buscas de palavras chaves/emergencial/287.txt,30.368.027/0001-56,1
12154,../data/Buscas de palavras chaves/emergencial/353.txt,13.574.594/0186-46,1
12163,../data/Buscas de palavras chaves/emergencial/353.txt,16.959.280/0003-07,1
13540,../data/Buscas de palavras chaves/emergencial/369.txt,46.948.113/0001-53,1
13589,../data/Buscas de palavras chaves/emergencial/395.txt,14.432.557/0001-79,1
13617,../data/Buscas de palavras chaves/emergencial/395.txt,79.716.613/0001-33,1
13870,../data/Buscas de palavras chaves/emergencial/401.txt,60.085.055/0435-31,1
14034,../data/Buscas de palavras chaves/emergencial/419.txt,26.371.080/0001-60,1
14073,../data/Buscas de palavras chaves/emergencial/431.txt,30.286.804/0001-31,1
14563,../data/Buscas de palavras chaves/emergencial/55.txt,36.215.108/0001-24,1
14622,../data/Buscas de palavras chaves/emergencial/558.txt,26.245.666/0001-10,1
14647,../data/Buscas de palavras chaves/emergencial/558.txt,35.864.462/0001-68,1
14655,../data/Buscas de palavras chaves/emergencial/558.txt,36.399.627/0001-70,2
15355,../data/Buscas de palavras chaves/emergencial/60.txt,12.968.901/0001-89,1
15415,../data/Buscas de palavras chaves/emergencial/615.txt,10.571.872/0001-53,1
15587,../data/Buscas de palavras chaves/emergencial/641.txt,07.450.732/0001-31,1
15628,../data/Buscas de palavras chaves/emergencial/641.txt,28.055.226/0001-16,1
15860,../data/Buscas de palavras chaves/emergencial/673.txt,11.041.059/0001-88,1
15931,../data/Buscas de palavras chaves/emergencial/690.txt,09.400.433/0001-44,1
15932,../data/Buscas de palavras chaves/emergencial/690.txt,09.428.831/0001-36,1
16030,../data/Buscas de palavras chaves/emergencial/704.txt,44.575.700/0001-41,1
16138,../data/Buscas de palavras chaves/emergencial/711.txt,09.494.737/0001-49,1
16169,../data/Buscas de palavras chaves/emergencial/715.txt,04.211.082/0001-31,1
16301,../data/Buscas de palavras chaves/emergencial/728.txt,19.682.663/0001-26,1
16307,../data/Buscas de palavras chaves/emergencial/728.txt,27.165.182/0001-21,1
16332,../data/Buscas de palavras chaves/emergencial/732.txt,07.199.118/0001-32,1
16336,../data/Buscas de palavras chaves/emergencial/732.txt,09.930.287/0001-60,1
17102,../data/Buscas de palavras chaves/emergencial/80.txt,00.162.137/2014-91,2
17175,../data/Buscas de palavras chaves/emergencial/80.txt,31.089.522/0001-41,1
17547,../data/Buscas de palavras chaves/emergencial/80.txt,44.133.819/0001-30,1
17548,../data/Buscas de palavras chaves/emergencial/80.txt,45.229.153/0001-10,1
17650,../data/Buscas de palavras chaves/emergencial/823.txt,20.414.780/0001-35,1
17677,../data/Buscas de palavras chaves/emergencial/823.txt,30.681.365/0001-04,1
17681,../data/Buscas de palavras chaves/emergencial/823.txt,32.962.698/0001-31,1
17687,../data/Buscas de palavras chaves/emergencial/823.txt,36.390.358/0001-60,1
17696,../data/Buscas de palavras chaves/emergencial/843.txt,02.728.618/0001-21,1
17805,../data/Buscas de palavras chaves/emergencial/882.txt,14.884.711/0001-45,2
17816,../data/Buscas de palavras chaves/emergencial/882.txt,27.165.182/0001-21,2
17902,../data/Buscas de palavras chaves/emergencial/890.txt,94.389.400/0001-04,1
17928,../data/Buscas de palavras chaves/emergencial/896.txt,62.729.178/0004-91,1
17959,../data/Buscas de palavras chaves/emergencial/900.txt,20.992.487/0001-40,1
17987,../data/Buscas de palavras chaves/emergencial/900.txt,93.399.400/0001-38,1
18002,../data/Buscas de palavras chaves/emergencial/903.txt,12.063.197/0001-59,1
18042,../data/Buscas de palavras chaves/emergencial/912.txt,16.941.580/0001-80,1
18053,../data/Buscas de palavras chaves/emergencial/912.txt,27.167.745/0001-67,2
18141,../data/Buscas de palavras chaves/emergencial/922.txt,00.881.181/0001-57,1
18185,../data/Buscas de palavras chaves/emergencial/922.txt,36.215.108/0001-24,1
18200,../data/Buscas de palavras chaves/emergencial/924.txt,62.729.178/0004-91,1
18388,../data/Buscas de palavras chaves/emergencial/964.txt,05.703.059/0001-54,1
18397,../data/Buscas de palavras chaves/emergencial/964.txt,33.205.757/0001-37,1
18521,../data/Buscas de palavras chaves/emergencial/983.txt,07.722.566/0001-52,1
