,text,cnpj,count
18542,../data/Buscas de palavras chaves/emergencial/983.txt,27.165.182/0001-21,1
18548,../data/Buscas de palavras chaves/emergencial/983.txt,30.681.365/0001-04,1
18557,../data/Buscas de palavras chaves/emergencial/983.txt,36.287.959/0001-79,1
18604,../data/Buscas de palavras chaves/emergencial/999.txt,06.044.486/0001-66,1
84,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1047.txt,12.196.993/0001-41,1
160,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1060.txt,36.215.108/0001-24,1
809,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1142.txt,12.196.993/0001-41,1
880,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1144.txt,13.335.920/0001-20,1
902,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1144.txt,32.194.305/0001-12,1
964,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1168.txt,27.165.345/0001-90,1
1181,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,09.649.306/0001-49,1
1193,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,14.866.880/0001-50,1
1201,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,19.244.814/0001-38,1
1240,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,60.085.055/0435-31,1
1314,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1224.txt,06.629.746/0001-09,1
1495,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1287.txt,00.612.203/0001-01,2
1534,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1289.txt,00.331.778/0016-03,4
1537,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1289.txt,00.868.640/0001-43,1
1678,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1304.txt,21.822.665/0001-60,1
1796,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/132.txt,13.015.833/0001-55,5
1898,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1391.txt,46.721.473/2020-36,1
1959,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/140.txt,24.810.340/0001-10,1
2141,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1431.txt,05.063.395/0001-30,1
2147,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1431.txt,21.993.497/0001-70,1
2200,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1451.txt,33.871.336/0002-62,1
2224,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1456.txt,27.353.630/0004-04,1
2289,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1511.txt,11.957.593/0001-10,1
2314,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1511.txt,27.708.186/0001-33,1
2343,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1531.txt,05.400.066/0001-70,1
2496,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1564.txt,05.439.635/0001-56,1
2498,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1564.txt,06.962.016/0001-16,1
3089,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1607.txt,51.260.743/0001-34,1
3192,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1643.txt,12.264.563/0001-03,1
3322,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1670.txt,26.728.177/0001-80,1
3335,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1672.txt,02.548.753/0001-80,1
3382,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/169.txt,07.377.498/0001-64,1
3444,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/169.txt,67.729.178/0001-91,1
3457,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1700.txt,10.942.931/0001-36,1
3533,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1709.txt,03.718.824/0001-05,1
3639,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1719.txt,24.506.677/0001-57,1
3667,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1728.txt,01.107.391/0002-63,1
3678,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1731.txt,07.783.349/0001-97,1
3902,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1805.txt,46.043.998/0001-04,1
4158,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1943.txt,08.849.921/0001-56,1
4167,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1943.txt,10.571.872/0001-53,1
4179,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1943.txt,14.889.534/0001-06,1
4233,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1947.txt,15.790.788/0001-19,1
4272,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1954.txt,17.460.096/0001-38,1
4354,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1959.txt,27.165.345/0001-90,1
4371,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1959.txt,39.315.211/0001-94,1
4408,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1961.txt,27.165.182/0001-21,1
4424,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1961.txt,39.315.211/0001-94,2
4438,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1987.txt,14.884.711/0001-45,2
4446,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1987.txt,27.165.182/0001-21,2
5285,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/204.txt,14.884.711/0001-45,1
5326,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/205.txt,11.615.369/0001-35,1
5375,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/217.txt,26.938.887/0001-79,1
5393,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/217.txt,67.991.521/0001-09,1
5413,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/229.txt,00.740.969/0001-92,2
5534,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/287.txt,30.368.027/0001-56,1
6291,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/369.txt,46.948.113/0001-53,1
6339,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/419.txt,26.371.080/0001-60,1
6378,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/431.txt,30.286.804/0001-31,1
6648,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/55.txt,36.215.108/0001-24,1
6752,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/60.txt,12.968.901/0001-89,1
6794,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/615.txt,10.571.872/0001-53,1
7101,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/673.txt,11.041.059/0001-88,1
7169,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/690.txt,09.400.433/0001-44,1
7170,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/690.txt,09.428.831/0001-36,1
7268,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/704.txt,44.575.700/0001-41,1
7376,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/711.txt,09.494.737/0001-49,1
7407,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/715.txt,04.211.082/0001-31,1
7522,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/728.txt,19.682.663/0001-26,1
7528,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/728.txt,27.165.182/0001-21,1
7548,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/732.txt,07.199.118/0001-32,1
7552,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/732.txt,09.930.287/0001-60,1
8141,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/80.txt,00.162.137/2014-91,2
8214,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/80.txt,31.089.522/0001-41,1
8586,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/80.txt,44.133.819/0001-30,1
8587,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/80.txt,45.229.153/0001-10,1
8661,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/843.txt,02.728.618/0001-21,1
8732,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/882.txt,14.884.711/0001-45,2
8743,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/882.txt,27.165.182/0001-21,2
8783,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/896.txt,62.729.178/0004-91,1
8814,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/900.txt,20.992.487/0001-40,1
8842,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/900.txt,93.399.400/0001-38,1
8857,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/912.txt,16.941.580/0001-80,1
8868,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/912.txt,27.167.745/0001-67,2
8886,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/922.txt,00.881.181/0001-57,1
8930,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/922.txt,36.215.108/0001-24,1
8945,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/924.txt,62.729.178/0004-91,1
9175,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/999.txt,06.044.486/0001-66,1
39,../data/Buscas de palavras chaves/_ventilador pulmonar_/1531.txt,05.400.066/0001-70,1
118,../data/Buscas de palavras chaves/_ventilador pulmonar_/1687.txt,02.881.887/0001-64,1
177,../data/Buscas de palavras chaves/_ventilador pulmonar_/1687.txt,51.260.743/0001-34,1
178,../data/Buscas de palavras chaves/_ventilador pulmonar_/1687.txt,52.488.629/0008-66,1
203,../data/Buscas de palavras chaves/_ventilador pulmonar_/169.txt,07.377.498/0001-64,1
265,../data/Buscas de palavras chaves/_ventilador pulmonar_/169.txt,67.729.178/0001-91,1
391,../data/Buscas de palavras chaves/_ventilador pulmonar_/205.txt,11.615.369/0001-35,1
426,../data/Buscas de palavras chaves/_ventilador pulmonar_/237.txt,10.942.831/0001-38,1
447,../data/Buscas de palavras chaves/_ventilador pulmonar_/237.txt,26.726.117/0001-80,1
591,../data/Buscas de palavras chaves/_ventilador pulmonar_/640.txt,24.506.677/0001-57,1
606,../data/Buscas de palavras chaves/_ventilador pulmonar_/640.txt,50.856.251/0001-21,1
624,../data/Buscas de palavras chaves/_ventilador pulmonar_/732.txt,07.199.118/0001-32,1
628,../data/Buscas de palavras chaves/_ventilador pulmonar_/732.txt,09.930.287/0001-60,1
685,../data/Buscas de palavras chaves/_ventilador pulmonar_/845.txt,12.396.933/0001-41,1
702,../data/Buscas de palavras chaves/_ventilador pulmonar_/845.txt,23.767.722/0001-59,4
704,../data/Buscas de palavras chaves/_ventilador pulmonar_/845.txt,24.195.598/0001-42,1
718,../data/Buscas de palavras chaves/_ventilador pulmonar_/922.txt,00.881.181/0001-57,1
762,../data/Buscas de palavras chaves/_ventilador pulmonar_/922.txt,36.215.108/0001-24,1
28,../data/Buscas de palavras chaves/RT-PCR/1287.txt,00.612.203/0001-01,2
184,../data/Buscas de palavras chaves/RT-PCR/1529.txt,01.631.225/0001-51,1
302,../data/Buscas de palavras chaves/RT-PCR/1805.txt,46.043.998/0001-04,1
317,../data/Buscas de palavras chaves/RT-PCR/1870.txt,00.057.747/9891-72,1
416,../data/Buscas de palavras chaves/RT-PCR/1947.txt,15.790.788/0001-19,1
698,../data/Buscas de palavras chaves/RT-PCR/80.txt,00.162.137/2014-91,2
771,../data/Buscas de palavras chaves/RT-PCR/80.txt,31.089.522/0001-41,1
1143,../data/Buscas de palavras chaves/RT-PCR/80.txt,44.133.819/0001-30,1
1144,../data/Buscas de palavras chaves/RT-PCR/80.txt,45.229.153/0001-10,1
1167,../data/Buscas de palavras chaves/RT-PCR/882.txt,14.884.711/0001-45,2
1178,../data/Buscas de palavras chaves/RT-PCR/882.txt,27.165.182/0001-21,2
1280,../data/Buscas de palavras chaves/RT-PCR/914.txt,33.936.618/0001-07,1
1308,../data/Buscas de palavras chaves/RT-PCR/949.txt,09.400.433/0001-44,1
1347,../data/Buscas de palavras chaves/RT-PCR/949.txt,50.856.251/0001-21,1
1375,../data/Buscas de palavras chaves/RT-PCR/971.txt,10.999.751/0001-07,1
251,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1029.txt,11.615.369/0001-35,1
270,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1029.txt,26.113.297/0001-96,1
362,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1060.txt,36.215.108/0001-24,1
484,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1094.txt,28.055.226/0001-16,1
507,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1105.txt,01.785.355/0001-40,1
636,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1144.txt,13.335.920/0001-20,1
658,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1144.txt,32.194.305/0001-12,1
824,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1168.txt,27.165.345/0001-90,1
844,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1177.txt,00.924.195/0001-06,1
1005,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1224.txt,06.629.746/0001-09,1
1187,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1256.txt,02.205.536/0001-42,1
1284,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1256.txt,26.552.982/0001-75,1
1357,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1269.txt,08.447.694/0001-64,1
1450,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1304.txt,21.822.665/0001-60,1
1512,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/132.txt,13.015.833/0001-55,5
1576,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1324.txt,09.378.619/0001-99,7
1673,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1392.txt,00.000.000/0001-00,2
1828,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/140.txt,24.810.340/0001-10,1
1870,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1429.txt,79.846.465/0001-81,2
1890,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1431.txt,05.063.395/0001-30,1
1896,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1431.txt,21.993.497/0001-70,1
1908,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1433.txt,01.367.217/0001-41,1
2075,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1451.txt,33.871.336/0002-62,1
2107,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1456.txt,27.353.630/0004-04,1
2196,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1496.txt,04.630.415/0001-18,1
2216,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1496.txt,88.148.719/0001-61,1
2253,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1511.txt,11.957.593/0001-10,1
2278,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1511.txt,27.708.186/0001-33,1
2312,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1531.txt,05.400.066/0001-70,1
2549,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1643.txt,12.264.563/0001-03,1
2594,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1668.txt,73.937.724/0001-20,1
2606,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/169.txt,07.377.498/0001-64,1
2668,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/169.txt,67.729.178/0001-91,1
2700,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1700.txt,10.942.931/0001-36,1
2867,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1719.txt,24.506.677/0001-57,1
3100,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1858.txt,00.164.118/2014-08,1
3210,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1870.txt,00.057.747/9891-72,1
3395,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1943.txt,08.849.921/0001-56,1
3404,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1943.txt,10.571.872/0001-53,1
3416,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1943.txt,14.889.534/0001-06,1
3484,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1959.txt,27.165.345/0001-90,1
3501,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1959.txt,39.315.211/0001-94,1
3538,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1961.txt,27.165.182/0001-21,1
3554,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1961.txt,39.315.211/0001-94,2
3571,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1986.txt,11.615.369/0001-35,1
3598,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1987.txt,14.884.711/0001-45,2
3606,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/1987.txt,27.165.182/0001-21,2
4466,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/205.txt,11.615.369/0001-35,1
4961,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/280.txt,36.325.257/0001-34,1
4981,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/334.txt,30.852.358/0001-85,1
5218,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/395.txt,14.432.557/0001-79,1
5246,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/395.txt,79.716.613/0001-33,1
5422,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/535.txt,06.164.446/0001-02,1
5527,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/55.txt,36.215.108/0001-24,1
5572,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/560.txt,34.235.146/0001-60,1
5705,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/640.txt,24.506.677/0001-57,1
5720,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/640.txt,50.856.251/0001-21,1
5937,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/673.txt,11.041.059/0001-88,1
6097,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/728.txt,19.682.663/0001-26,1
6103,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/728.txt,27.165.182/0001-21,1
6496,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/835.txt,22.259.013/0001-02,2
6552,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/845.txt,12.396.933/0001-41,1
6569,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/845.txt,23.767.722/0001-59,4
6571,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/845.txt,24.195.598/0001-42,1
6598,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/882.txt,14.884.711/0001-45,2
6609,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/882.txt,27.165.182/0001-21,2
6649,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/900.txt,20.992.487/0001-40,1
6677,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/900.txt,93.399.400/0001-38,1
6692,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/903.txt,12.063.197/0001-59,1
6732,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/912.txt,16.941.580/0001-80,1
6743,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/912.txt,27.167.745/0001-67,2
6804,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/922.txt,00.881.181/0001-57,1
6848,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/922.txt,36.215.108/0001-24,1
7028,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/949.txt,09.400.433/0001-44,1
7067,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/949.txt,50.856.251/0001-21,1
7109,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/971.txt,10.999.751/0001-07,1
7458,../data/Buscas de palavras chaves/_Equipamentos de Proteção Individual_/999.txt,06.044.486/0001-66,1
5,../data/Buscas de palavras chaves/_ventiladores pulmonares_/1012.txt,21.239.429/0001-05,1
20,../data/Buscas de palavras chaves/_ventiladores pulmonares_/1687.txt,02.881.887/0001-64,1
79,../data/Buscas de palavras chaves/_ventiladores pulmonares_/1687.txt,51.260.743/0001-34,1
80,../data/Buscas de palavras chaves/_ventiladores pulmonares_/1687.txt,52.488.629/0008-66,1
777,../data/Buscas de palavras chaves/_ventiladores pulmonares_/262.txt,08.285.346/0001-04,1
839,../data/Buscas de palavras chaves/_ventiladores pulmonares_/640.txt,24.506.677/0001-57,1
854,../data/Buscas de palavras chaves/_ventiladores pulmonares_/640.txt,50.856.251/0001-21,1
174,../data/Buscas de palavras chaves/_Dispensa de licitação_/101.txt,09.929.813/0001-89,1
192,../data/Buscas de palavras chaves/_Dispensa de licitação_/1012.txt,21.239.429/0001-05,1
313,../data/Buscas de palavras chaves/_Dispensa de licitação_/1029.txt,11.615.369/0001-35,1
332,../data/Buscas de palavras chaves/_Dispensa de licitação_/1029.txt,26.113.297/0001-96,1
343,../data/Buscas de palavras chaves/_Dispensa de licitação_/103.txt,01.803.618/0001-85,2
349,../data/Buscas de palavras chaves/_Dispensa de licitação_/103.txt,07.654.468/0001-60,1
357,../data/Buscas de palavras chaves/_Dispensa de licitação_/103.txt,12.224.044/0001-47,1
394,../data/Buscas de palavras chaves/_Dispensa de licitação_/1047.txt,12.196.993/0001-41,1
422,../data/Buscas de palavras chaves/_Dispensa de licitação_/1052.txt,05.196.551/0001-01,1
432,../data/Buscas de palavras chaves/_Dispensa de licitação_/1052.txt,20.789.197/0001-85,1
529,../data/Buscas de palavras chaves/_Dispensa de licitação_/1060.txt,36.215.108/0001-24,1
704,../data/Buscas de palavras chaves/_Dispensa de licitação_/1071.txt,10.834.744/0001-19,1
708,../data/Buscas de palavras chaves/_Dispensa de licitação_/1071.txt,15.363.151/0001-67,1
884,../data/Buscas de palavras chaves/_Dispensa de licitação_/1092.txt,08.294.413/0001-76,1
909,../data/Buscas de palavras chaves/_Dispensa de licitação_/1092.txt,22.240.363/0001-57,1
1002,../data/Buscas de palavras chaves/_Dispensa de licitação_/1094.txt,28.055.226/0001-16,1
1025,../data/Buscas de palavras chaves/_Dispensa de licitação_/1105.txt,01.785.355/0001-40,1
1114,../data/Buscas de palavras chaves/_Dispensa de licitação_/1108.txt,09.537.386/0001-10,1
1135,../data/Buscas de palavras chaves/_Dispensa de licitação_/1112.txt,24.501.340/0001-44,1
1159,../data/Buscas de palavras chaves/_Dispensa de licitação_/1119.txt,02.814.497/0007-98,1
2056,../data/Buscas de palavras chaves/_Dispensa de licitação_/1128.txt,27.165.182/0001-21,1
2207,../data/Buscas de palavras chaves/_Dispensa de licitação_/1142.txt,12.196.993/0001-41,1
2278,../data/Buscas de palavras chaves/_Dispensa de licitação_/1144.txt,13.335.920/0001-20,1
2300,../data/Buscas de palavras chaves/_Dispensa de licitação_/1144.txt,32.194.305/0001-12,1
2588,../data/Buscas de palavras chaves/_Dispensa de licitação_/1162.txt,14.667.969/0001-19,1
2595,../data/Buscas de palavras chaves/_Dispensa de licitação_/1162.txt,18.770.251/0001-01,1
2609,../data/Buscas de palavras chaves/_Dispensa de licitação_/1162.txt,88.559.493/0001-79,1
2611,../data/Buscas de palavras chaves/_Dispensa de licitação_/1162.txt,91.338.384/0004-02,1
2653,../data/Buscas de palavras chaves/_Dispensa de licitação_/1168.txt,27.165.345/0001-90,1
2825,../data/Buscas de palavras chaves/_Dispensa de licitação_/1190.txt,08.942.276/0001-08,1
3039,../data/Buscas de palavras chaves/_Dispensa de licitação_/1224.txt,06.629.746/0001-09,1
3148,../data/Buscas de palavras chaves/_Dispensa de licitação_/1229.txt,11.615.369/0001-35,1
3331,../data/Buscas de palavras chaves/_Dispensa de licitação_/1252.txt,32.934.693/0001-13,1
3360,../data/Buscas de palavras chaves/_Dispensa de licitação_/1253.txt,12.342.574/0001-14,1
3481,../data/Buscas de palavras chaves/_Dispensa de licitação_/1269.txt,08.447.694/0001-64,1
